id,name,town,district,region,latitude,longitude,phone,website,specialty,created_at,updated_at,photo,category
1,A.M.E Zion Clinic,Afrancho,Offinso North,Ashanti,7.40801,-1.96317,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
2,Abenkyiman Clinic,Anwiankwanta,Bekwai Municipal,Ashanti,6.46312,-1.58592,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
3,Aboabo Health Centre,Aboabo No 2,Adansi North,Ashanti,6.22393,-1.34982,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
4,Aboabogya Health Centre,Aboabogya,Afigya-Kwabre,Ashanti,6.84177,-1.61098,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
5,Aboaso Health Centre,Aboaso,Kwabre,Ashanti,6.84177,-1.61098,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
6,Aboffour Health Centre,Aboffour,Offinso North,Ashanti,7.12986,-1.73294,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
7,Abuakwa Maternity Home,Abuakwa,Atwima-Nwabiagya,Ashanti,7,-2,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
8,Aburaso Methodist clinic,Aburaso,Atwima-Kwanwoma,Ashanti,6.66133,-1.67662,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
9,Achiase Health Centre,Achiase,Ejisu-Juaben Municipal,Ashanti,6.45543,-1.31004,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
10,Adidwan Health Centre,Adidwan,Mampong Municipal,Ashanti,7.25163,-1.40278,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
11,Adimposo CHPS,Adimposo,Amansie West,Ashanti,6.33659,-1.92588,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,CHPS
12,Adom Hospital,Akratiebesa,Asante-Akim North Municipal,Ashanti,6.61879,-1.19202,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
13,Adom Maternity Home,Adinyana,Ahafo-Ano South,Ashanti,6.88364,-1.87334,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
14,Adwumakase Kese Health Centre,Adwumakase Kese,Afigya-Kwabre,Ashanti,6.80813,-1.53933,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
15,Afamaso Maternity Home,Afamaso,Sekyere South,Ashanti,6.94912,-1.50873,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
16,Aframso Health Centre,Aframso No.3,Sekyere Central,Ashanti,7.14472,-1.12162,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
17,Afrancho Health Centre,Afrancho,Afigya-Kwabre,Ashanti,6.81527,-1.59589,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
18,Agogo Presby Hospital,Agogo,Asante-Akim North Municipal,Ashanti,6.79618,-1.08529,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
19,Agona Health Centre,Agona,Sekyere South,Ashanti,6.93605,-1.49759,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
20,Agyenkwa Clinic,Hwireso,Ejisu-Juaben Municipal,Ashanti,6.67522,-1.38159,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
21,Agyenkwa Clinic,New  Estate-Obuasi,Obuasi Municipal,Ashanti,6.20898,-1.67103,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
22,Ahenema kokoben Health Centre,Ahenema kokoben,Atwima-Kwanwoma,Ashanti,6.62597,-1.64978,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
23,Ahenkro Health Centre,Ahenkro,Afigya-Kwabre,Ashanti,6.87155,-1.64009,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
24,Ahmadiya Muslim Hospital,Effiduase,Sekyere East,Ashanti,6.84534,-1.38366,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
25,Ahmadiyaa Mission Hospital,Kokofu,Bekwai Municipal,Ashanti,6.50986,-1.53649,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
26,Ahwene Memorial Hospital,Bekwai,Bekwai Municipal,Ashanti,6.45491,-1.57071,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
27,Aim High Clinic,Subin Camp,Adansi South,Ashanti,5.96717,-1.44993,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
28,Akokuaso Health Centre,Akokuaso,Sekyere East,Ashanti,6.85355,-1.33583,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
29,Akomaa Memorial Hospital,Kortwia,Bekwai Municipal,Ashanti,6.43966,-1.53837,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Hospital
30,Akomadan Health Centre,Akomadan zongo,Offinso North,Ashanti,7.40581,-1.96072,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
31,Akrofrom Clinic,New Akrofrom,Adansi North,Ashanti,6.15348,-1.47621,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
32,Akrofrom Community Clinic,Akrofrom,Amansie Central,Ashanti,6.39651,-1.60783,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
33,Akrofrom Health Centre,Akrofrom,Adansi South,Ashanti,6.12385,-1.65387,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
34,Akrokerri Health Centre,Akrokerri,Adansi North,Ashanti,6.29513,-1.63224,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
35,Akropong Health Centre,Akropong,Atwima-Nwabiagya,Ashanti,7,-2,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
36,Akropong Maternity Home,Akropong,Atwima-Nwabiagya,Ashanti,7,-2,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
37,Akutreso Health Centre,Akutreso,Adansi South,Ashanti,6.09619,-1.29292,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Health Centre
38,Akwasiase Dressing Station,Akwasiase,Ahafo-Ano North,Ashanti,6.99498,-2.19887,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
39,Alice Memorial Maternity Clinic,Tepa,Ahafo-Ano North,Ashanti,6.99961,-2.17134,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Maternity Home
40,All Souls Clinic,Akaporiso,Obuasi Municipal,Ashanti,6.19852,-1.62881,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
41,Allen Health Clinic,Wamasi,Adansi South,Ashanti,6.08691,-1.69553,,,,2015-11-16T20:09:57+00:00,2015-11-16T20:09:57+00:00,,Clinic
